id,applicant,location,description,tags,source,source_id,source_date,source_url,source_license,documentation,mechanism,mechanism_rating,mechanism_notes,mechanism_comment,volume,volume_rating,volume_notes,volume_comment,negativity,negativity_rating,negativity_notes,negativity_comment,permanence,permanence_rating,permanence_notes,permanence_comment,additionality,additionality_notes,additionality_comment,price,price_notes,price_comment,specificity,specificity_notes,specificity_comment,rating,revisions,notes
STRP026,Carbo Culture ,Finland,Fossilization of lignocellulosic waste into stable and functional biocarbons.,"biomass,biochar",Stripe Spring 2021 Negative Emissions Purchase,STRP01,05-26-2021,https://github.com/stripe/carbon-removal-source-materials,CC-BY-4.0,https://www.carboculture.com/,1.0,1.0,Avoids emissions from decomposing biomass resources and transforms them into long-lived biochar materials.,"Project produces biochar, syngas, and district heat from a centralized facility. From a narrow lifecycle perspective, project only avoids biogenic CO₂ emissions. More broadly, the same mechanism forms a carbon removal pathway when coupled to biomass production.",961.0,1.0,Project offers 1067.38 tCO₂ embodied in biochar at the point of production from a new facility in Finland.,"Construction of Finland facility is projected to begin in the end of 2021, and become operational in 2022 with an annual capacity of 1500 t biochar. Project claims 3.32 tCO₂ is embodied in each ton biochar at the point of production. This corresponds to biochar that is at least 90% C by mass, which is consistent with publicly accissible lab analysis of the project's walnut shell biochar (91.8% C) and peach pit biochar (91.3% C). The offer is for the production of 321.5 t biochar. For consistency with other biochar projects, gross volume offered is decreased by 10% because permanence assumes the duration over which 90% of volume will remain. We feel reasonably confident that the decay constant of the biochar feedstock is greater that 0.01, in which case volume claims over the reported permanence period hold.",0.93,0.0,"Project reports 0.208 tCO₂e emissions / ton biochar for feedstock transporation and facility energy use.  Project claim of 3.32 tCO₂ sequestered / ton biochar is decreased by 10% to reflect volume of ""permanently"" sequestered CO₂. See Permanence for further discussion.",Numbers are derived from an LCA performed on the project's demo plant in California following the Puro.earth methodology. Analysis performed and audited by third-parties. Details are not publicly available. A new LCA will be performed for the Finland plant.,656.0,1.0,Project claims at least 1000 year permanence.,"For consistency in reporting biochar projects, we report permanence as the approximate duration over which 90% of biochar C remains. Project reports an O:C ratio of <0.05. This is consistent with publicly accissible lab analysis of the project's walnut shell biochar (O:C ratio of 0.02) and peach pit biochar (O:C ratio of 0.042). Using the O:C ratio of 0.05 and a simple published model, we estimate that 90% of the biochar C will remain in 656 years. This should be considered approximate, as permanence is only weakly correlated with composition, and likely depends on the storage environment and other factors.",1.0,Claimed counterfactual is wood residue feedstock being combusted for bioenergy or turned into wood products like particleboard.,"Process produces district heat and syngas in addition to biochar. Further validation of additionality would require understanding market dynamics around the produced biochar and its ultimate utilization, and the impact of carbon finance on the operation of the facility.",553.55,"For the 5% of the offer produced before Q3/2022, the price is $621/tCO₂. For remaining 95%, the price is $550/tCO₂. Price includes all expenses except capital expenses associated with building the facility.",We report a weighted average of the two offer prices.,1.0,,Basic technology is well understood through both demonstrations and published literature. Plans for upcoming Finland facility clearly communicated in this proposal. Lab results from biochar produced at the demo facility is publicly available. Public LCA details would enable further analysis of negativity. Clarity about biochar end use would enable further analysis of permanence.,3,"[{'date': '05-26-2021', 'note': 'First release.'}]",
STRP033,EBS,Australia,Growing biomass for long-term subterranian storage.,"biomass,burial",Stripe Spring 2021 Negative Emissions Purchase,STRP01,05-26-2021,https://github.com/stripe/carbon-removal-source-materials,CC-BY-4.0,,2.0,1.0,Project removes carbon from atmosphere for storage in buried biomass.,"This proposal includes both a trial phase and a commercial phase. During the trial phase, project buys biomass to test subterranean storage concept, leading to avoided emissions. During the commercial phase, project will plant coppicing, native woody plants like Eucalyptus and Acacia and periodically harvest the above-ground biomass for storage in subterranean pits, leading to carbon removal. At scale, approach raises questions about land use for both biomass growth and biomass storage.",5000.0,0.0,"Project offers 50 tCO₂ of avoided emissions during the burial pit trial phase, and 4950 tCO₂ removal from the commercial phase.","During the trial phase, biomass will be purchased from existing plantations and burried at a 100 square meter burial site. Volume for this phase is plausible, contingent on sufficient biomass purchase. In the commercial phase, biomass will be purpose-grown over a 25,000 ha project area, and stored at a 195 ha burial site. Biomass will be harvested on a 2 year cycle. During this phase of the project, claimed removal is 400,000 tCO₂ / year. We infer a the project estimates a carbon removal rate of 16 tCO₂/ha/yr. Proposal specifies that all cultivated species will be woody, copiccing plants native to Australia. Specific species are not identified. Questions remain about coppicing, including variation between species in regrowth rates and how regrowth rates would affect operations and estimates of carbon removal. It is unclear what proportion of the claimed carbon removal is from aboveground or belowground biomass or how belowground biomass will be tracked across the 25 year project timeline.",0.961,0.0,"Project reports 75 tCO₂ emissions for 50 tCO₂ removal during trial phase, and 121 tCO₂ emissions for 4950 tCO₂ removal during commercial phase. Boundary for life cycle analysis includes the planting, processing, storage and monitoring of biomass, as well as burial chamber leakage.",Numbers for subcompents are approximate. No methods are provided for their derivation.,1000.0,0.0,Project claims 1000-6000 year permanence.,Storage pit proof-of-concept experiment is part of the proposal in question.,2.0,,There is no reason to bury biomass in brine except for carbon removal purposes.,50.0,,,1.0,,"Basic approach clearly communicated. Key elements of the carbon removal pathway are pending demonstration, including the storage strategy trial, which this proposal addresses. Proposal is missing key information, including tree species, carbon accrual estimation methodology, LCA details, and consideration of potential environmental impacts.",2,"[{'date': '05-26-2021', 'note': 'First release.'}]",
STRP035,Carbofex,Finland,Biochar technology company.,"biomass,biochar",Stripe Spring 2021 Negative Emissions Purchase,STRP01,05-26-2021,https://github.com/stripe/carbon-removal-source-materials,CC-BY-4.0,https://puro.earth/services/biochar-finland-100008,1.0,1.0,Avoids emissions from biomass resources and transforms them into long-lived biochar materials.,"Project produces biochar and bio-oil from a centralized plant. From a narrow lifecycle perspective, project only avoids biogenic CO₂ emissions. From a broad perspective, the same mechanism forms a carbon removal pathway when coupled to biomass production.",1036.0,1.0,Project offers 1151 tCO₂ embodied in biochar from a plant operating in Finland.,"Volume offer is based on producing biochar that emobodies 3.43 tCO₂ in each ton biochar at the point of production. In other words, offer is based on producing 335 t biochar that is at least 93.4% C by mass. Previously published lab analyses indicate production of biochar that is 92.7% C by mass, which appears to be consistent with Puro.earth's crediting of the project. For consistency with other biochar projects, gross volume of avoided emissions is decreased by 10% because permanence assumes the duration over which 90% of volume will remain. We feel reasonably confident that the decay constant of the biochar feedstock is greater that 0.01, in which case volume claims over the reported permanence period hold.",0.949,0.0,"Project reports 0.157 tCO₂ emissions per 3.43 tCO₂ stored at point of biochar production. Claimed biochar volume is decreased by 10% to reflect volume of ""permanently"" sequestered CO₂. See Permanence for further discussion.","LCA analysis was performed by third-party, as required by Puro, but details are not publicly available. Boundary conditions are well-specified, and include fossil emissions for feedstock harvest, transporation, and pyrolosis.",755.0,1.0,Project claims 90% of biochar carbon will remain after 1500 years.,"For consistency in reporting biochar projects, we report permanence as the approximate duration over which 90% of biochar C remains. Using the reported O:C ratio of 0.021 and a simple published model, we estimate that 90% of the biochar C will remain in 755 years. This should be considered approximate, as permanence is only weakly correlated with composition, and likely depends on the storage environment and other factors.",1.0,"Claimed counterfactual is feedstock wood thinnings decomposing in place, or logged wood being burned.",Biochar production is coupled with discrict heating. Further analysis would require understanding the impact of carbon finance on the operation of the facility.,180.0,,,1.0,,"Project is formally listed on Puro.earth. Third-party analysis of biochar chemical composition is available, but conflicts with project claims in proposal. LCA details, which were previously accessible via a link in the Stripe 2020 application, are no longer public.",3,"[{'date': '05-26-2021', 'note': 'First release.'}]",
STRP040,Ensyn,Canada,Incorporating pyrolysis by-products into asphalt. ,"biomass,asphalt",Stripe Spring 2021 Negative Emissions Purchase,STRP01,05-26-2021,https://github.com/stripe/carbon-removal-source-materials,CC-BY-4.0,http://www.ensyn.com/,1.0,1.0,Project avoids emissions by incorporating biochar into asphalt.,"Project procures a byproduct of fast pyrolysis, composed in part of biochar, and incorporates it into asphalt as an alternative binder. From a narrow lifecycle perspective, project claims the avoided CO₂ emissions of biochar production. More broadly, the same mechanism forms a carbon removal pathway if coupled to both biomass feedstock and biochar production.",338.0,1.0,Project offers 300 tCO₂ via incoporation of biochar into asphalt.,"Offered volume is based on biochar that is 84.2% C by mass, or in other terms, biochar that embodies 3.09 tCO₂ per ton of biochar at the point of production. Project offer reflects the assumption that of the 120 tons of biochar incorporated into asphalt, 80% of biochar C will remain stored longer than 1000 years. For consistency in reporting volume and permanence claims across biochar projects, the gross volume offered is adjusted to reflect that permanence reporting assumes the duration over which 90% of biochar C will remain. Volume is plausible if this project is correctly taking credit for the carbon benefits of biochar production. See additionality for further discussion.",0.873,0.0,"Reported ratio is based on the transportation of biochar feedstock, energy use for pyrolysis, and incorporation of biochar into asphalt. Reported emissions total 43 tCO₂ for the claimed 300 tCO₂ sequestered. Project reports additional avoided emissions from the displacement of conventional binders, which we exclude for consistency in reporting. Sequestration volume is adjusted to reflect volume of ""permanently"" sequestered CO₂. See permanence for further discussion.","Boundary conditions are well-specified, and emissions numbers are provided for sub-components of the process. Emissions reported for the feedstock processing and fast pyrolysis seem to be consistent with the production ratios of bio-oil, another product of the pyrolysis process, rather than the biochar-containing filter cake.",547.0,1.0,Project claims 1000 year permanence.,"Using the reported O:C ratio of 0.09 and a simple published model, we estimate that 90% of the biochar C will remain in 547 years. We report this duration for consistency in reporting across biochar projects. Using the same O:C ratio and model,  we estimate that 80% of biochar C will remain in 1144 years. This is consistent with projects claim that 1000 year claim for 80% of biochar C will remain for at least 1000 years. These permanence estimates should be considered approximate, as permanence is only weakly correlated with composition, and does not take into account the impact of incorporating biochar into asphalt.",1.0,Claimed counterfactual is decomposition or combustion of biochar feedstock.,"This proposal forms one part of a multi-actor pathway to avoided emissions, which raises concerns about potential for double counting. Although there is no indication of ongoing double-counting, it is worth noting that any tons offered in the voluntary market by both the biochar producer and the project proponent would be non-additional.",600.0,,,1.0,,"Thorough description of project plan for incorporating biochar into asphalt, which forms one part of a pathway to avoided emissions. Volume offer and negativity reflect biochar production as within scope for this proposal. Additional details about biochar production process would enable further analysis.",3,"[{'date': '05-26-2021', 'note': 'First release.'}]",
STRP046,Standard Gas,United Kingdom,Pyrolysis of waste to produce biochar and syngas.,"biomass,biochar",Stripe Spring 2021 Negative Emissions Purchase,STRP01,05-26-2021,https://github.com/stripe/carbon-removal-source-materials,CC-BY-4.0,www.standardgas.co.uk,1.0,1.0,Project avoids emissions from decomposing biomass resources by transforming them into long-lived biochar materials.,"Modular pyrolysis technology produces biochar and syngas. From a narrow lifecycle perspective, project only avoids biogenic CO₂ emissions. More broadly, the same mechanism forms a carbon removal pathway when coupled to biomass production.",2700.0,0.0,Project seeks an offtake agreement for 3000 tCO₂ embodied in biochar.,"Project claims each modular unit can produce 4500 t biochar / year, sequestering 16,750  tCO₂. However, this implies the biochar is more than 100% C by mass, which is not possible. For consistency with other biochar projects, gross volume of avoided emissions is decreased by 10% because permanence assumes the duration over which 90% of volume will remain.",0.849,0.0,"Reported ratio based on running a single unit for a full year with a total 2284 tCO₂ of emissions and 16,766 tCO₂ embodied in biochar at point of production. Claimed C storage in biochar is decreased by 10% to reflect volume of ""permanently"" sequestered CO₂. See Permanence for further discussion.",Life cycle analysis boundary does not appear to include transportation or processing of feedstock. No specific numbers are associated with process subcomponents. Detailed life cycle analysis is referenced but not publicly available.,547.0,1.0,"Project claims 100+ years if biochar is applied to soil, and 200+ years if biochar is incorporated into construction materials.","For consistency in reporting biochar projects, we report permanence as the approximate duration over which 90% of biochar C remains. In this case, the O:C ratio is not available, so we conservatively assume a high ratio of 0.09. Using a simple published model, we estimate that 90% of the biochar C will remain in 568 years. This should be considered approximate, as permanence is only weakly correlated with composition, and likely depends on the storage environment and other factors.",0.0,Claimed counterfactual is incineration or landfill storage of waste biomass feedstock.,"Technology can process non-recyclable plastics and other wastes in addition to biomass, but this offer claims the exclusive use of waste biomass. Project claims it makes a profit on the sale of electrical power, payment to process waste, and sale of biochar as a useful material without additional carbon revenue. Further analysis would require understanding the impact of carbon finance on the operation of the facility.",120.0,,,1.0,,"Clear communication of offer and project plan. Key information, such as biochar quality and life cycle analysis, is not publicly available.",1,"[{'date': '05-26-2021', 'note': 'First release.'}]",
STRP048,Solugen,"Texas, USA",Decarbonizing the chemicals industry with computational biology.,"biomass,injection",Stripe Spring 2021 Negative Emissions Purchase,STRP01,05-26-2021,https://github.com/stripe/carbon-removal-source-materials,CC-BY-4.0,https://www.solugentech.com/industrial-chemical-products/biochelate/,1.0,1.0,Project converts biomass sugars into a value-added product which is pumped into an underground waste disposal well for geologic storage.,"From a narrow lifecycle perspective, project only avoids biogenic CO₂ emissions. From a broad perspective, the same mechanism forms a carbon removal pathway when coupled to biomass production.",16384.0,1.0,"Project offers 1024 tCO₂ storage in year one (2021-2022), 5120 tCO₂ storage in year 2, and 10,240 tCO₂ storage per year thereafter from a commercial plant in Houston, TX.","We report the volume offered over the first three years of plant operation. Contingent on plant operation at claimed capacity, sufficient procurement of feedstock sugars, and successful injection, claimed volume is plausible.",0.6,0.0,"Reported ratio includes emissions from feedstock production, processing, and transportation, in addition to the energy needed for the Solugen process, and transportation of final product, for a total of 0.4 tCO₂ emitted per ton of CO₂ sequestered in a saline well. Emissions estimates for feedstock production are derived from the GREET model.","Boundary conditions are well-specified, and emissions numbers are provided for sub-components of the process. Emissions associated with feedstock production and energy use appear to report numbers from the low end of identified ranges.",1000.0,1.0,Project claims permanent storage in Class II disposal wells.,"Successful geological injection produces reliable, effectively permanent carbon storage.",0.0,"Claimed counterfactual is use of dextrose feedstock for human and animal consumption, or in production of ethanol fuel.","Project sells a product that can bind metals to decrease harmful depositions and increase the performance of disposal wells. Project claims there is an existing economic case for disposal wells to include up to 50ppm of the product to enhance well performance. Beyond this ""useful"" concentration, project claims the same disposal wells could handle up to 10,000ppm of the product. Thus for a given well, carbon benefits from injection of the product would be non-additional up to 50ppm, while injections past that concentration would be additional. The proposal does not differentiate between these two cases, and offers the full production volume from its new commercial plant. Thus, it is unclear what potion of the offered volume is additional.",N/A,"Project does not report a price, and requests that Stripe set a standard carbon utilization price.",,2.0,,Reasonably thorough description of technology and project plans.,2,"[{'date': '05-26-2021', 'note': 'First release.'}]",
STRP028,Mission Zero,United Kingdom,Direct air capture coupled with utilization by O.C.O. Technology.,"dac,aggregate",Stripe Spring 2021 Negative Emissions Purchase,STRP01,05-26-2021,https://github.com/stripe/carbon-removal-source-materials,CC-BY-4.0,,0.0,1.0,Project removes carbon from the atmosphere using a liquid solvent. Captured carbon dioxide will be mineralized in reaction with industrial waste materials to create building materials.,"Project uses an undisclosed non-hydroxide solvent and electrochemical separation to capture and recover CO₂. Project delivers captured CO₂ to a partner, O.C.O. Technologies, who mineralizes CO₂ in reaction with industrial waste materials to create Manufactured LimeStone.",365.0,0.0,Project offers 365 gross tCO₂ removal from the operation of an industrial scale pilot trial with O.C.O. technologies from 2023-2024.,Volume is based on 100% mineralization of captured CO₂ in O.C.O.'s Manufactured LimeStone. The proposed DAC technology uses a novel solvent and electrochemical separation. There is not enough information available about this early stage DAC technology to validate the offered volume.,0.979,0.0,"Project reports 7.5 tCO₂ emissions for the direct air capture of 365 tCO₂. Reported ratio includes embodied emissions from concrete, steel and electrochemical components of the technology, as well as emissions from electricity use and chemical feedstocks.","LCA boundaries are well defined, but currently exclude the storage solution, claiming that O.C.O. would have operated with similar emissions regardless. Project indicates the intention to perform an LCA including storage process.",1000.0,1.0,Project claims 1000 year permanence.,"Successful mineralization produces reliable, effectively permanent carbon storage.",2.0,,"The only reason to implement the direct air capture portion of this project is to generate climate benefits. O.C.O Technologies has offered carbon benefits related with CO₂ utilization in the voluntary market in the past. Although there is no indication of double-counting, it is worth noting that any tons offered in the voluntary market by both parties would be non-additional. Conversely, tons that are not double-counted would be additional.",275.0,"Stripe purchased from this project at $319/tCO₂, which differs from the proposed price. This price is broken down as $279 for capture, and $40 for storage.",Further details about the negotiated purchase can be found here: https://github.com/stripe/carbon-removal-source-materials/tree/master/Purchase%20Agreements/Spring2021,1.0,,Reasonably thorough description of project and partnerships. Public data or publications regarding the novel DAC approach would enable further validation.,3,"[{'date': '05-26-2021', 'note': 'First release.'}]",
STRP041,Heirloom,"California, USA",Direct air capture via mineralization. ,"dac,mineralization",Stripe Spring 2021 Negative Emissions Purchase,STRP01,05-26-2021,https://github.com/stripe/carbon-removal-source-materials,CC-BY-4.0,https://www.nature.com/articles/s41467-020-16510-3,0.0,1.0,Project removes carbon from the air via calcination and mineralization of a solid sorbent. Captured carbon dioxide may be utilized commercially or stored via geologic injection.,"Project cycles magnesium oxide or calcium oxide as a solid sorbent. Project releases CO₂ from the mineral through calcination, and captures the CO₂ for storage or utilization. Sorbent passively mineralizes CO₂ before being cycled through the process. While the capacity of basic mineralization and calcination technologies are well established, achieving the accellerated rate of passive mineralization is pending demonstration. The end use of captured CO₂, yet to be determined, is an important component of a full carbon removal pathway.",50.0,0.0,"Project offers 50 gross tCO₂ removal, the majority from the deployment of a new demo plant. Removal will be delivered between 2021 and 2023.","Volume is based on 90% calcination efficiency, capturing 0.53 tCO₂ per ton calcium oxide and 0.74 tCO₂ per ton magnesium oxide per cycle. The basic volume estimates are consistent with literature, but project implementation and empirical demonstration of the approach are too early stage to validate volume.",0.94,0.0,"Project reports 3 tCO₂ emissions for 50 tCO₂ removal. This includes emissions for feedstock transportation, calcination, carbonation, and CO₂ storage.","Lifecycle boundaries are clearly defined, and LCA numbers are detailed and well-cited, though approximate.",N/A,0.0,"Project claims 1-1000 year permanence in the short term, depending on the storage strategy identified. In the long term, project indicates plans to pursue geologic storage or mineralization. Stripe’s purchase from this project was contingent on 1000+ year storage for the purchased tons via geologic sequestration or mineralization in concrete.","In its proposal, project presents a plan to capture CO₂, but does not specify what will happen to the captured CO₂. Project presents the full range of possible permanence outcomes, from temporary outcomes like chemical production to effectively permanent outcomes like geologic injection or mineralization in concrete. Since the project does not decidedly articulate any particular storage duration in its proposal, we report N/A. Further details about the negotiated purchase can be found here: https://github.com/stripe/carbon-removal-source-materials/tree/master/Purchase%20Agreements/Spring2021.",2.0,,"The only reason to implement a project like this is to generate climate benefits. If project pursues geologic injection, it would be eligibile to participate in the Low Carbon Fuel Standard (LCFS) compliance program. Project has not indicated the intention to participate in the LCFS, but if participating, any tons that received LCFS credits and were also offered in the voluntary market would be non-additional. Because LCFS is a compliance program, this would be a case of double counting. Conversely, tons that did not receive LCFS credits would be additional.",10000.0,"Stripe purchased from this project at $2,054/tCO₂, which differs from the proposed price.",Further details about the negotiated purchase can be found here: https://github.com/stripe/carbon-removal-source-materials/tree/master/Purchase%20Agreements/Spring2021,2.0,,Basic carbon removal pathway well defined via peer-reviewed literature. Third party lifecycle analysis or public data from upcoming demo projects would enable further analysis of the innovative components of this pathway.,2,"[{'date': '05-26-2021', 'note': 'First release.'}, {'date': '09-17-2021', 'note': 'Heirloom’s public proposal is ambiguous regarding the permanence of captured carbon. In our original project report, we reported the permanence as N/A and reflected the proposal’s ambiguity in our permanence note and comment. Heirloom has since confirmed that their purchase agreement with Stripe was contingent on 1000+ year storage for the purchased tons via geologic sequestration or mineralization in concrete. We updated the permanence note and comment to reflect this understanding.'}]","We have collaborated with Noah McQueen, co-founder of Heirloom, on past projects (DAC Calculator and CDR Primer). We have also cited and learned from his scientific publications. As always, we have attempted to base our analysis solely on publicly-available information. "
STRP025,Carbix ,"Texas, USA",Transforming CO₂ into building materials.,"mineralization,aggregate",Stripe Spring 2021 Negative Emissions Purchase,STRP01,05-26-2021,https://github.com/stripe/carbon-removal-source-materials,CC-BY-4.0,https://www.carbixcorp.com/,1.0,1.0,Captured industrial CO₂ is mineralized as a building material feedstock.,"Project produces carbonates that can be used as aggregates.  From a narrow lifecycle perspective, project avoids emissions because it sources CO₂ from a waste stream. From a broad perspective, the same technology would form a carbon removal pathway if coupled to a biogenic CO₂ emissions source or a direct air capture facility.",3935.0,0.0,"Project offers 12 tCO₂ removal from a prototype already deployed, in addition to 3923 tCO₂ from a pilot deployment in Texas.","For the existing prototype, volume is based on the 0.4 tCO₂ mineralization per ton wollastonite feedstock. For the proposed pilot deployment, volume is based on 0.39 tCO₂ mineralization per ton of blended mineral feedstock. While mineralization volume is theoretically plausible, public data from the initial bench-scale operation does not yet support execution on this claim. Data or publications from the operating prototype would enable further validation.",0.695,0.0,"Reported ratio includes emissions from mining, processing and transporting mineral feedstocks, and energy sources for the carbonation process. Reported emissions total 1200 tCO₂ for 3935 tCO₂ removal.",LCA numbers are detailed though approximate.,1000.0,1.0,Project claims 1000-5000 year permanence.,"Successful mineralization produces reliable, effectively permanent carbon storage.",1.0,,Aggregates will be sold as a product separate from associated the carbon benefits. More information about the impact of carbon finance on carbonate production would enable further analysis of additionality.,73.0,,,1.0,,"Thorough description of basic technology. Detailed, self-reported LCA provided in proposal and additional linked documentation. Public data from the operating prototype would enable further validation.",2,"[{'date': '05-26-2021', 'note': 'First release.'}]",
STRP027,GreenSand ,Netherlands,Removing CO₂ with surface mineralization of Olivine. ,"mineralization,olivine",Stripe Spring 2021 Negative Emissions Purchase,STRP01,05-26-2021,https://github.com/stripe/carbon-removal-source-materials,CC-BY-4.0,https://www.greensand.nl/,0.0,1.0,"Project leverages rainwater to weather ground olivine spread on land. Depending on sediment transfer, olivine weathering can result in alkalization of runoff and/or formation of carbonate precipitates, both of which remove carbon from the atmosphere.",Project specifically proposes to use finely ground olivine to replace in-fill sand in sport fields. Not known over relavant time scales whether final form of carbon is carbonate precipitates or dissolved bicarbonate.,5500.0,1.0,Project offers the first 100 years of carbon removal associated with the deployment of 5000 t of finely ground olivine.,"Project claims 1.1 tCO₂ removed / t olivine deployed over the weathering lifetime of the olivine. Project estimates that 68% of olivine weathering will occur within the first 100 years, which is the offered removal volume (0.748 tCO₂ / t olivine). A full consideration of the counterfactual fate of the olivine feedstock could affect these estimates, but we think this is unlikely and don't withold validation.",0.967,0.0,"Project reports 0.0363 tCO₂ emissions / ton olivine. This includes emissions associated with mining, processing, and transporting olivine. Project claims 1.1 tCO₂ removal / t olivine deployed.","While project only seeks to sell 68% of projected CO₂ removal, the remaining removal is likely guaranteed once the olivine is deployed. We thus report the ratio of emissions to the removal over the entire weathering lifetime of the olivine. Numbers are detailed though approximate.",1000.0,1.0,Project claims greater than 1000 year permanence.,"Successful mineralization produces reliable, effectively permanent carbon storage.",1.0,Counterfactual is using alternative in-fill sand without carbon removal benefits. No clear counterfactual for the olivine waste stream.,Offer clearly communicates the role of carbon finance in making the finely ground olivine cost competitive with alternative in-fill materials. Finely ground olivine is sourced as a by-product material from the manufacture of foundry sand. Its size is not changed before deployment. Information about the alternative uses for this olivine feedstock would enable further analysis of additionality.,170.39,,This offer is is for a more finely ground olivine product than previously offered by GreenSand. Thus prices should not be directly compared the prices of previous offers.,2.0,,Basic mechanism is well-described in literature. Project details and removal volume assumptions  are clearly communicated.,3,"[{'date': '05-26-2021', 'note': 'First release.'}]",
